Removed Pin From Net: NetName=+3V3 Pin=X3-9
Removed Pin From Net: NetName=LCD_BL_A Pin=X3-10
Change component parameters: Designator = "X3"; Footprint = "CONN_0525592253"; UniqueID = "\MYECOBQK\OPRPTMYO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1896633.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1896633.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.mouser.com/ds/2/276/0525592253_FFC_FPC_CONNECTORS-229826.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.mouser.com/ds/2/276/0525592253_FFC_FPC_CONNECTORS-229826.pdf?src-supplier=Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Bronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Gold"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "500mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Receptacle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "52559-2253"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Circuits"; Value = "22"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "22"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "22"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_1"; Value = "ROW_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_2"; Value = "ROW_2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_3"; Value = "ROW_3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_4"; Value = "COL_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_5"; Value = "COL_2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_6"; Value = "COL_3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_7"; Value = "PWR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_8"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_9"; Value = "LED_A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_10"; Value = "VDD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_11"; Value = "LED_K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_12"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_13"; Value = "RESET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_14"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_15"; Value = "WR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_16"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_17"; Value = "CS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_18"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_19"; Value = "SDA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_20"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_21"; Value = "RS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_22"; Value = "GND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_23"; Value = "MNT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "pin_24"; Value = "MNT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=2.66, 10=2.267, 100=1.8728 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "52559"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "4369"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "WM10988CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=LCD_BL_A Pin=X3-9
Added Pin To Net: NetName=+3V3 Pin=X3-10
