Change Component DesignItemId : Designator=P16 Old DesignItemId=CONN B4B-ZR-SM4-TFT HEADER SMD 4POS 1.5MM New DesignItemId=CONN HEADER SMD R/A 4POS 1.5MM
Change Component DesignItemId : Designator=P17 Old DesignItemId=CONN B5B-ZR-SM4-TF HEADER SMD 5POS 1.5MM New DesignItemId=CONN HEADER SMD R/A 5POS 1.5MM
Change Component DesignItemId : Designator=P25 Old DesignItemId=CONN BM04B-SRSS-TB HEADER SMD 4POS 1MM New DesignItemId=CONN HEADER SMD R/A 4POS 1MM
Change Component Footprint: Designator=P16 Old Footprint=CONN_JST_B4B-ZR-SM4-TF(LF)(SN) New Footprint=CONN_JST_S4B-ZR-SM4A-TF(LF)(SN)
Change Component Footprint: Designator=P17 Old Footprint=CONN_JST_B5B-ZR-SM4-TF(LF)(SN) New Footprint=CONN_JST_S5B-ZR-SM4A-TF(LF)(SN)
Change Component Footprint: Designator=P25 Old Footprint=CONN_JST_BM04B-NSHSS-TBT New Footprint=CONN_JST_SM4B-NSHSS-TB(LF)(SN)
Change Component Description : Designator=P25 Old Description=Connector Header Surface Mount 4 position 0.039" (1.00mm) New Description=Connector Header Surface Mount, Right Angle 4 position 0.039" (1.00mm)
Change Component Description : Designator=P16 Old Description=Connector Header Surface Mount 4 position 0.059" (1.50mm) New Description=Connector Header Surface Mount, Right Angle 4 position 0.059" (1.50mm)
Change Component Description : Designator=P17 Old Description=Connector Header Surface Mount 5 position 0.059" (1.50mm) New Description=Connector Header Surface Mount, Right Angle 5 position 0.059" (1.50mm)
Change component parameters: Designator = "P16"; Footprint = "CONN_JST_S4B-ZR-SM4A-TF(LF)(SN)"; UniqueID = "\NHYMYXVF\HVGPGDDK"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Color"; Value = "Natural"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.jst-mfg.com/product/pdf/eng/eZH.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.jst-mfg.com/product/pdf/eng/eZH.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://uk.rs-online.com/webdocs/13ed/0900766b813ed0da.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://uk.rs-online.com/webdocs/13ed/0900766b813ed0da.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=646289&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=646289&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=558977&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=558977&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass,Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "30mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "6.5mm"; VariantName = "[No Variations]"
