Change Component DesignItemId : Designator=P19.1 Old DesignItemId=CONN B2B-ZR-SM4-TFT HEADER SMD 2POS 1.5MM New DesignItemId=CONN HEADER SMD R/A 2POS 1.5MM
Change Component DesignItemId : Designator=P18 Old DesignItemId=CONN B3B-ZR-SM4-TFT HEADER SMD 3POS 1.5MM New DesignItemId=CONN HEADER SMD R/A 3POS 1.5MM
Change Component Footprint: Designator=P19.1 Old Footprint=CONN_JST_B2B-ZR-SM4-TF(LF)(SN) New Footprint=CONN_JST_S2B-ZR-SM4A-TF(LF)(SN)
Change Component Footprint: Designator=P18 Old Footprint=CONN_JST_B3B-ZR-SM4-TF(LF)(SN) New Footprint=CONN_JST_S3B-ZR-SM4A-TF(LF)(SN)
Change Component Description : Designator=P19.1 Old Description=Connector Header Surface Mount, 2 position 0.059" (1.50mm) New Description=Connector Header Surface Mount, Right Angle 2 position 0.059" (1.50mm)
Change Component Description : Designator=P18 Old Description=Connector Header Surface Mount, 3 position 0.059" (1.50mm) New Description=Connector Header Surface Mount, Right Angle 3 position 0.059" (1.50mm)
Change component parameters: Designator = "P18"; Footprint = "CONN_JST_S3B-ZR-SM4A-TF(LF)(SN)"; UniqueID = "\BACKIVUA\PQUOLYGI"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Color"; Value = "Natural"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.jst-mfg.com/product/pdf/eng/eZH.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.jst-mfg.com/product/pdf/eng/eZH.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://uk.rs-online.com/webdocs/13ed/0900766b813ed0dc.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://uk.rs-online.com/webdocs/13ed/0900766b813ed0dc.pdf?src-supplier=RSComponents"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=641056&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.verical.com/server-webapp/html/getDatasheet?partID=641056&src-supplier=Verical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass,Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin,Copper"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Resistance"; Value = "30mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "6.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Detent"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "7.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Color"; Value = "Beige"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Housing Material"; Value = "Polyamide"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "JST"; VariantName = "[No Variations]"
