Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
TP8        "Test Point Pad"                             TopLayer    TESTPOINT                        550.000       1050.000      90       "Test Point. There is nothing to buy or mount."                                                                                                      
TFT        LH200K-IF05                                  TopLayer    CONN_0524352271                  2952.756      472.438       90       "22 Position FFC, FPC Connector Contacts, Top 0.020" (0.50mm) Surface Mount, Right Angle"                                                            
U40        LDLN025PU18R                                 TopLayer    DFN65P100X40-4N                  1700.000      2625.000      270      "Linear Voltage Regulator IC 1 Output 250mA 4-DFN (1x1)"                                                                                             
C146       "CAP CER 2.2UF 6.3V X5R 0402"                TopLayer    C0402                            1700.000      2680.000      360      "2.2µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                                                           
C145       "CAP CER 2.2UF 6.3V X5R 0402"                TopLayer    C0402                            1700.000      2570.000      360      "2.2µF ±20% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)"                                                                                           
D8         NSR0140P2T5G                                 TopLayer    SODFL100X40-2N                   2225.000      2600.000      270      "Diode Schottky 30V 70mA (DC) Surface Mount SOD-923"                                                                                                 
C39        "CAP CER 0.1UF 50V X7R 0402"                 BottomLayer C0402                            3050.000      2025.000      270      "0.1µF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                                                            
R115       "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            685.000       675.000       90       "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R114       "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            635.000       875.000       270      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
D2         ESDA7P120-1U1M                               BottomLayer ST_QFN_1610                      270.000       115.000       180      "11.5V Clamp 120A (8/20µs) Ipp Tvs Diode Surface Mount 1610"                                                                                         
C15        "CAP ALUM 68 UF 20% 25 V SMD"                TopLayer    WCAP-ASLI_6.3X5.5                950.000       650.000       180      "68µF 25V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 105°C"                                                                      
C14        "CAP ALUM 68 UF 20% 25 V SMD"                TopLayer    WCAP-ASLI_6.3X5.5                950.000       950.000       180      "68µF 25V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 105°C"                                                                      
